PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
51.0,110.0,33.0,63.0,700.0,23.0,2.9,1004.1,-1.8,0.0,13,0.6
64.0,106.0,25.0,84.0,700.0,3.0,2.0,1004.0,-0.6,0.0,0,0.1
64.0,149.0,25.0,84.0,700.0,2.0,2.7,1004.3,-2.2,0.0,1,1.5
66.0,114.0,23.0,83.0,1800.0,2.0,3.0,1004.9,-1.7,0.0,4,1.4
72.0,151.0,18.0,85.0,3100.0,2.0,3.1,1005.1,-1.7,0.0,4,2.2
91.0,142.0,8.0,82.0,2100.0,4.0,4.8,1005.4,-1.9,0.0,4,1.9
66.0,81.0,9.0,69.0,1899.0,14.0,6.3,1005.2,-1.1,0.0,1,2.5
63.0,82.0,29.0,67.0,1600.0,22.0,7.5,1004.6,-1.7,0.0,1,1.8
62.0,84.0,50.0,61.0,1500.0,26.0,9.3,1003.8,-1.2,0.0,2,1.7
71.0,93.0,53.0,65.0,1300.0,36.0,10.9,1002.7,-0.9,0.0,0,1.1
86.0,115.0,50.0,62.0,1200.0,43.0,12.7,1001.3,0.1,0.0,0,2.0
94.0,119.0,48.0,64.0,1100.0,51.0,13.6,999.7,0.2,0.0,11,1.4
75.0,92.0,58.0,70.0,1200.0,58.0,15.1,998.5,-3.3,0.0,15,2.2
116.0,135.0,74.0,70.0,1300.0,64.0,15.3,997.9,-2.7,0.0,13,0.8
125.0,157.0,77.0,68.0,1399.0,78.0,14.9,996.9,-2.5,0.0,12,2.5
125.0,182.0,71.0,73.0,1200.0,66.0,13.3,997.7,1.9,0.0,10,1.7
84.0,158.0,44.0,82.0,1000.0,41.0,12.2,1000.0,0.6,0.0,4,2.8
86.0,136.0,50.0,78.0,1000.0,46.0,12.0,1001.2,0.4,0.0,4,1.8
99.0,133.0,58.0,86.0,1100.0,35.0,11.8,1002.8,1.1,0.0,6,4.0
90.0,131.0,68.0,77.0,1300.0,35.0,10.5,1003.1,3.3,0.0,4,2.7
83.0,184.0,45.0,65.0,1000.0,38.0,9.5,1002.5,3.2,0.0,3,0.0
83.0,184.0,45.0,65.0,700.0,37.0,8.3,1002.2,3.1,0.0,4,1.0
63.0,42.0,23.0,47.0,700.0,30.0,6.3,1002.2,3.6,0.0,6,1.1
42.0,43.0,21.0,54.0,700.0,15.0,5.2,1003.0,3.7,0.0,12,1.1
44.0,105.0,18.0,69.0,700.0,2.0,9.5,1004.2,-11.2,0.0,14,3.3
44.0,106.0,16.0,76.0,500.0,35.0,8.8,1003.6,-13.6,0.0,6,4.5
31.0,177.0,14.0,52.0,400.0,72.0,7.5,1004.6,-15.4,0.0,3,2.2
39.0,177.0,7.0,13.0,400.0,72.0,7.3,1005.5,-16.9,0.0,6,4.5
35.0,137.0,8.0,15.0,400.0,74.0,7.1,1006.5,-17.1,0.0,6,4.1
31.0,91.0,6.0,14.0,500.0,73.0,7.9,1007.3,-13.1,0.0,7,3.9
24.0,132.0,8.0,16.0,500.0,72.0,8.8,1007.4,-11.2,0.0,14,5.6
24.0,132.0,7.0,15.0,400.0,74.0,10.1,1007.6,-9.6,0.0,14,5.6
15.0,101.0,5.0,13.0,400.0,77.0,10.3,1007.5,-12.4,0.0,6,6.1
16.0,80.0,4.0,10.0,400.0,78.0,11.4,1006.8,-12.1,0.0,6,5.0
13.0,69.0,4.0,9.0,400.0,81.0,11.7,1006.8,-11.2,0.0,7,7.6
13.0,69.0,4.0,9.0,400.0,82.0,12.3,1006.9,-10.1,0.0,7,7.0
16.0,110.0,4.0,8.0,400.0,83.0,12.2,1006.8,-10.8,0.0,7,4.3
15.0,149.0,3.0,6.0,400.0,81.0,10.1,1007.5,-10.1,0.0,6,7.4
32.0,274.0,5.0,9.0,400.0,80.0,10.8,1007.9,-11.3,0.0,6,3.5
32.0,231.0,4.0,9.0,400.0,75.0,9.8,1008.4,-12.8,0.0,6,5.4
19.0,230.0,5.0,12.0,400.0,77.0,9.2,1009.3,-12.6,0.0,7,5.0
14.0,139.0,3.0,12.0,400.0,78.0,8.7,1010.3,-12.5,0.0,6,6.1
13.0,113.0,3.0,12.0,400.0,78.0,8.4,1010.9,-11.6,0.0,7,5.8
15.0,105.0,3.0,12.0,400.0,77.0,8.1,1010.9,-11.8,0.0,6,4.5
18.0,89.0,4.0,11.0,400.0,77.0,7.7,1010.6,-11.1,0.0,6,4.7
12.0,71.0,4.0,10.0,400.0,78.0,7.3,1010.2,-10.5,0.0,6,5.1
9.0,72.0,4.0,8.0,400.0,76.0,6.6,1010.4,-9.4,0.0,7,4.1
12.0,55.0,7.0,9.0,400.0,75.0,6.2,1010.5,-8.2,0.0,7,2.9
10.0,43.0,7.0,11.0,400.0,74.0,6.0,1010.8,-9.5,0.0,6,4.2
8.0,40.0,8.0,12.0,400.0,69.0,6.2,1011.4,-9.7,0.0,3,4.8
11.0,21.0,8.0,18.0,400.0,68.0,6.0,1012.3,-10.3,0.0,6,5.4
12.0,22.0,8.0,20.0,400.0,72.0,5.1,1013.3,-9.9,0.0,7,1.3
9.0,18.0,7.0,16.0,400.0,71.0,6.1,1013.7,-10.2,0.0,6,6.0
10.0,18.0,8.0,18.0,400.0,69.0,7.0,1013.9,-9.0,0.0,6,3.7
12.0,20.0,7.0,22.0,400.0,75.0,7.5,1015.1,-9.9,0.0,6,6.2
12.0,25.0,6.0,16.0,400.0,77.0,8.5,1015.7,-9.5,0.0,7,5.2
11.0,34.0,7.0,13.0,400.0,80.0,9.5,1015.9,-8.6,0.0,7,5.2
12.0,24.0,5.0,10.0,400.0,82.0,11.0,1015.4,-7.3,0.0,14,3.8
12.0,24.0,5.0,10.0,400.0,85.0,11.4,1015.1,-9.6,0.0,6,3.9
13.0,21.0,5.0,9.0,400.0,89.0,11.5,1015.1,-9.0,0.0,3,5.0
12.0,27.0,5.0,10.0,400.0,88.0,11.3,1015.0,-8.1,0.0,5,4.5
17.0,25.0,5.0,10.0,400.0,87.0,11.3,1014.4,-8.6,0.0,5,3.7
4.0,25.0,5.0,11.0,400.0,83.0,10.3,1015.3,-7.0,0.0,6,7.0
14.0,27.0,4.0,11.0,400.0,82.0,9.2,1015.5,-7.1,0.0,6,3.8
13.0,33.0,5.0,12.0,400.0,80.0,8.2,1015.6,-7.5,0.0,7,2.0
13.0,33.0,5.0,12.0,500.0,75.0,8.2,1016.8,-10.2,0.0,3,3.8
12.0,18.0,5.0,19.0,500.0,74.0,7.3,1017.3,-10.5,0.0,3,2.2
18.0,26.0,4.0,25.0,400.0,74.0,6.7,1017.3,-10.6,0.0,6,1.6
15.0,25.0,3.0,21.0,400.0,70.0,6.4,1017.5,-10.0,0.0,3,3.1
12.0,18.0,4.0,23.0,400.0,60.0,5.7,1017.2,-9.4,0.0,6,1.7
13.0,23.0,4.0,33.0,400.0,60.0,4.6,1016.9,-9.2,0.0,6,1.7
13.0,26.0,4.0,32.0,400.0,44.5536,3.2,1016.6,-6.0,0.0,3,1.4
13.0,26.0,6.0,46.0,400.0,41.5548,5.1,1016.4,-8.4,0.0,6,2.4
13.0,22.0,7.0,48.0,500.0,40.698,4.5,1016.1,-8.3,0.0,6,1.6
12.0,31.0,10.0,50.0,500.0,50.1228,5.1,1015.8,-8.4,0.0,6,3.9
10.0,27.0,10.0,34.0,400.0,52.0506,4.9,1015.8,-8.3,0.0,3,1.9
10.0,21.0,9.0,31.0,500.0,56.5488,5.3,1016.0,-7.9,0.0,6,2.7
10.0,21.0,10.0,25.0,500.0,56.763,7.3,1016.1,-8.7,0.0,6,3.1
12.0,24.0,10.0,26.0,500.0,56.9772,8.5,1015.9,-9.5,0.0,3,5.0
11.0,22.0,10.0,20.0,500.0,66.6162,9.4,1015.6,-9.2,0.0,3,3.8
10.0,22.0,10.0,20.0,500.0,75.6126,11.0,1015.1,-9.9,0.0,6,6.4
14.0,18.0,8.0,13.0,500.0,78.183,11.3,1014.0,-10.3,0.0,3,4.8
5.0,11.0,6.0,12.0,500.0,78.6114,11.6,1013.3,-7.8,0.0,6,3.0
16.0,30.0,5.0,10.0,400.0,81.1818,12.0,1012.7,-8.5,0.0,3,4.4
15.0,29.0,5.0,10.0,400.0,82.0386,12.5,1011.1,-9.3,0.0,6,3.0
10.0,60.0,4.0,8.0,400.0,80.1108,12.0,1010.9,-9.7,0.0,4,2.1
3.0,6.0,4.0,13.0,400.0,78.6114,12.8,1010.8,-12.5,0.0,14,4.2
7.0,20.0,4.0,13.0,400.0,77.9688,11.4,1011.0,-9.6,0.0,4,2.0
11.0,25.0,4.0,19.0,500.0,71.757,10.3,1011.7,-10.0,0.0,3,0.9
11.0,24.0,3.0,29.0,500.0,63.189,8.7,1012.1,-11.3,0.0,3,1.5
18.0,45.0,5.0,37.0,600.0,53.1216,6.3,1012.9,-4.5,0.0,5,0.5
24.0,78.0,7.0,75.0,700.0,17.9928,4.0,1013.1,-4.2,0.0,12,0.7
22.0,54.0,6.0,87.0,700.0,9.4248,2.7,1013.4,-3.2,0.0,8,0.6
23.0,55.0,7.0,88.0,900.0,2.0,2.1,1013.5,-5.1,0.0,12,0.7
36.0,108.0,8.0,98.0,1200.0,2.0,2.3,1013.4,-5.8,0.0,4,0.8
34.0,87.0,11.0,103.0,1000.0,2.0,3.8,1013.6,-4.7,0.0,5,1.1
36.0,147.0,11.0,103.0,900.0,2.0,2.9,1013.6,-4.3,0.0,4,0.6
25.0,72.0,14.0,101.0,600.0,2.0,3.2,1013.8,-7.3,0.0,3,1.3
17.0,56.0,11.0,97.0,700.0,2.0,3.2,1013.7,-5.0,0.0,4,1.2
25.0,77.0,14.0,95.0,800.0,2.0,2.5,1014.0,-5.9,0.0,4,0.9
25.0,69.0,19.0,93.0,900.0,2.0,4.6,1014.8,-9.2,0.0,3,1.8
24.0,61.0,22.0,91.0,1100.0,2.0,8.9,1015.0,-8.7,0.0,4,1.7
35.0,31.0,25.0,88.0,900.0,24.2046,10.5,1015.1,-11.0,0.0,5,2.6
21.0,31.0,21.0,66.0,700.0,56.9772,11.6,1015.3,-11.3,0.0,3,3.9
14.0,25.0,16.0,31.0,600.0,67.473,12.8,1014.8,-11.0,0.0,5,3.3
13.0,26.0,9.0,17.0,500.0,74.7558,14.0,1013.7,-10.7,0.0,6,4.8
16.0,27.0,9.0,17.0,500.0,78.8256,15.3,1012.4,-6.9,0.0,14,4.5
19.0,27.0,6.0,11.0,400.0,88.893,16.4,1011.8,-8.8,0.0,7,2.3
4.0,14.0,4.0,11.0,400.0,91.4634,17.0,1011.0,-9.9,0.0,14,5.0
16.0,17.0,2.2848,8.6226,400.0,91.6776,17.5,1010.2,-8.6,0.0,14,4.2
10.0,18.0,3.0,10.0,400.0,90.8208,18.1,1010.3,-11.8,0.0,7,2.3
10.0,18.0,3.0,10.0,400.0,88.2504,16.7,1010.4,-12.9,0.0,7,2.5
17.0,23.0,4.0,17.0,400.0,84.8232,14.9,1010.7,-13.3,0.0,5,2.0
5.0,32.0,4.0,38.0,500.0,62.118,11.4,1011.3,-10.8,0.0,2,0.8
4.0,32.0,4.0,38.0,600.0,33.8436,8.5,1011.9,-1.6,0.0,13,1.0
38.0,100.0,9.0,109.0,1100.0,0.2142,7.1,1012.2,-4.4,0.0,3,0.2
56.0,239.0,15.0,111.0,1300.0,2.0,6.0,1012.3,-3.1,0.0,12,1.0
50.0,192.0,11.0,113.0,1200.0,2.0,5.7,1012.1,-3.4,0.0,12,1.7
50.0,215.0,11.0,112.0,1100.0,2.0,7.8,1011.6,-3.7,0.0,12,1.5
56.0,184.0,15.0,127.0,800.0,2.0,6.1,1011.2,-1.6,0.0,14,0.8
49.0,143.0,15.0,120.0,700.0,2.0,5.6,1010.8,-3.2,0.0,1,0.6
49.0,107.0,15.0,118.0,700.0,2.0,4.6,1010.5,-3.9,0.0,4,1.0
44.0,107.0,18.0,117.0,900.0,2.0,3.3,1010.4,-4.7,0.0,4,1.1
60.0,150.0,26.0,111.0,900.0,2.0,4.1,1010.5,-6.2,0.0,4,0.6
46.0,110.0,23.0,103.0,900.0,2.0,5.7,1011.0,-5.9,0.0,4,1.1
48.0,110.0,27.0,93.0,1000.0,2.0,10.2,1010.7,-6.6,0.0,9,1.1
48.0,94.0,26.0,85.0,900.0,4.0,12.3,1010.6,-6.2,0.0,3,1.0
50.0,123.0,24.0,87.0,900.0,8.0,15.5,1010.5,-8.1,0.0,4,1.2
50.0,122.0,23.0,86.0,1000.0,9.0,17.1,1009.4,-5.4,0.0,8,1.7
53.0,94.0,22.0,92.0,900.0,24.0,19.2,1008.2,-5.0,0.0,11,1.9
45.0,95.0,20.0,104.0,1000.0,24.0,20.9,1006.6,-2.9,0.0,11,2.9
62.0,110.0,18.0,104.0,900.0,38.0,21.7,1005.2,-2.3,0.0,11,2.8
58.0,109.0,16.0,44.0,600.0,88.0,22.6,1004.0,-0.2,0.0,11,3.8
46.0,109.0,14.0,34.0,500.0,88.0,22.2,1003.0,0.7,0.0,12,4.3
48.0,128.0,18.564,34.2851,500.0,86.751,22.5,1002.5,0.9,0.0,11,3.7
65.0,168.0,35.0,52.0,500.0,72.6138,21.6,1002.3,0.7,0.0,11,2.0
58.0,149.0,29.0,52.0,600.0,66.0,20.7,1002.7,2.0,0.0,13,1.9
57.0,149.0,25.0,76.0,700.0,40.0,19.7,1003.4,0.7,0.0,12,2.7
52.0,143.0,30.0,84.0,800.0,26.0,18.4,1003.1,1.4,0.0,12,2.5
60.0,161.0,36.0,97.0,800.0,13.0,18.3,1002.5,1.7,0.0,15,2.2
65.0,170.0,38.0,93.0,800.0,14.0,17.0,1001.4,2.2,0.0,12,2.6
73.0,191.0,39.0,82.0,800.0,15.0,16.6,1000.8,2.9,0.0,12,2.8
70.0,191.0,42.0,71.0,700.0,18.0,15.4,999.6,4.1,0.0,13,1.3
78.0,185.0,49.0,65.0,700.0,18.0,11.4,998.7,6.1,0.0,15,0.0
88.0,203.0,47.0,78.0,800.0,7.0,9.9,997.5,5.9,0.0,2,0.9
88.0,203.0,47.0,78.0,900.0,2.0,10.4,997.1,3.0,0.0,4,1.5
92.0,174.0,39.0,83.0,1000.0,2.0,9.1,996.5,3.1,0.0,4,0.7
97.0,179.0,37.0,94.0,1300.0,2.0,8.9,996.1,2.9,0.0,4,0.8
107.0,187.0,35.0,94.0,1300.0,2.0,11.2,996.7,2.2,0.0,4,2.0
100.0,197.0,33.0,87.0,1200.0,2.0,13.9,996.8,2.5,0.0,4,1.5
100.0,196.0,33.0,86.0,1300.0,2.0,16.9,996.8,2.5,0.0,4,1.4
112.0,223.0,43.0,91.0,1300.0,2.0,19.2,996.9,3.4,0.0,4,3.4
127.0,263.0,53.0,104.0,1300.0,8.0,24.4,996.8,0.0,0.0,3,3.3
154.0,268.0,53.0,113.0,1300.0,26.0,26.1,996.7,2.1,0.0,4,3.2
92.0,143.0,36.0,83.0,1000.0,42.0,24.2,997.1,3.5,0.0,6,4.5
23.0,103.0,18.0,16.0,400.0,70.0,25.2,997.7,3.2,0.0,14,5.9
23.0,84.0,17.0,14.0,400.0,74.0,24.6,997.9,2.1,0.0,3,4.5
20.0,74.0,15.0,12.0,300.0,82.0,24.0,998.1,1.0,0.0,6,3.7
20.0,74.0,14.0,11.0,300.0,80.0,23.0,998.8,-0.5,0.0,6,3.1
13.0,40.0,11.0,11.0,300.0,84.0,21.1,999.8,-2.1,0.0,6,4.5
16.0,44.0,7.0,11.0,400.0,84.0,19.1,1000.7,-3.1,0.0,6,5.1
10.0,54.0,5.0,10.0,400.0,80.0,17.9,1001.9,-4.8,0.0,6,5.0
17.0,63.0,5.0,20.0,400.0,72.0,16.9,1003.4,-7.6,0.0,3,5.2
11.0,32.0,6.0,22.0,400.0,70.0,16.0,1004.5,-9.1,0.0,6,6.6
12.0,47.0,4.0,13.0,300.0,80.0,14.9,1005.7,-9.3,0.0,5,4.2
8.0,56.0,4.0,17.0,400.0,74.0,13.4,1006.5,-7.9,0.0,4,1.5
8.0,25.0,3.0,25.0,400.0,66.0,11.8,1007.2,-9.9,0.0,4,3.6
6.0,21.0,4.0,22.0,400.0,67.0,10.3,1007.5,-4.5,0.0,4,1.9
8.0,13.0,4.0,28.0,400.0,60.0,7.0,1007.8,-1.7,0.0,9,0.7
11.0,31.0,4.0,45.0,400.0,41.0,5.8,1007.6,-2.8,0.0,4,1.3
30.0,127.0,7.0,81.0,500.0,10.0,7.0,1007.9,-6.7,0.0,0,1.3
16.0,56.0,7.0,55.0,400.0,37.0,5.8,1008.7,-10.1,0.0,1,0.8
8.0,33.0,3.0,36.0,400.0,50.0,7.1,1009.2,-10.2,0.0,8,0.4
11.0,38.0,5.0,37.0,400.0,50.0,10.1,1009.3,-8.6,0.0,13,1.3
5.0,40.0,5.0,42.0,400.0,46.0,10.8,1009.2,0.8,0.0,15,1.7
19.0,79.0,9.0,37.0,600.0,50.0,11.6,1008.7,0.4,0.0,8,1.6
19.0,79.0,9.0,37.0,800.0,45.0,13.0,1007.7,-0.7,0.0,12,2.4
34.0,152.0,22.0,46.0,1000.0,49.0,13.1,1006.3,-0.2,0.0,12,2.6
64.0,137.0,32.0,48.0,900.0,63.0,14.3,1005.1,-0.2,0.0,11,3.4
51.0,128.0,22.0,36.0,700.0,70.0,15.4,1003.8,-1.7,0.0,12,5.5
56.0,151.0,20.0,32.0,600.0,81.0,16.2,1002.2,-1.4,0.0,12,4.5
49.0,138.0,19.0,28.0,600.0,89.0,16.2,1001.2,-1.9,0.0,12,4.0
46.0,165.0,17.0,27.0,600.0,94.0,16.2,1000.6,-1.0,0.0,11,3.8
50.0,152.0,17.0,29.0,600.0,93.0,15.3,999.8,-1.3,0.0,12,3.6
56.0,174.0,21.0,38.0,600.0,85.0,14.4,999.7,-1.7,0.0,11,2.3
57.0,164.0,20.0,38.0,600.0,84.0,14.6,999.9,-1.5,0.0,11,3.1
57.0,164.0,20.0,38.0,600.0,74.0,14.1,999.8,-1.5,0.0,11,1.9
54.0,168.0,16.0,46.0,600.0,48.0,13.2,999.9,-1.2,0.0,8,1.7
55.0,194.0,15.0,70.0,1100.0,34.0,12.2,999.9,-0.4,0.0,8,2.8
67.0,196.0,32.0,75.0,1700.0,29.0,11.0,1000.3,0.1,0.0,11,1.3
65.0,169.0,35.0,77.0,1700.0,25.0,9.6,1000.0,0.2,0.0,12,1.6
61.0,156.0,32.0,78.0,1399.0,19.0,8.0,999.5,-0.3,0.0,9,0.5
62.0,171.0,31.0,78.0,1500.0,16.0,6.9,999.3,2.4,0.0,5,0.5
71.0,182.0,28.0,93.0,1600.0,3.0,7.8,999.2,0.5,0.0,5,1.1
71.0,182.0,27.0,93.0,1100.0,2.0,6.9,998.7,0.8,0.0,4,1.3
77.0,168.0,26.0,96.0,1300.0,2.0,6.4,999.2,1.1,0.0,4,0.6
77.0,167.0,26.0,95.0,1399.0,2.0,8.1,1000.2,0.6,0.0,1,1.2
68.0,146.0,26.0,98.0,1200.0,6.0,10.7,1000.2,-0.2,0.0,1,1.1
52.0,121.0,59.0,84.0,1300.0,17.0,13.0,1000.1,-2.1,0.0,0,1.4
69.0,155.0,74.0,86.0,1899.0,19.0,14.2,1000.0,-2.7,0.0,4,1.2
82.0,150.0,116.0,86.0,2399.0,25.0,15.7,998.9,-1.9,0.0,8,1.7
82.0,150.0,116.0,86.0,2000.0,36.0,17.1,997.3,-0.6,0.0,10,2.1
49.0,173.0,96.0,82.0,1800.0,52.0,18.1,997.0,-0.2,0.0,10,4.1
82.0,174.0,73.0,64.0,1600.0,81.0,19.5,995.6,1.4,0.0,10,1.9
88.0,203.0,69.0,63.0,1700.0,93.0,19.5,994.9,1.4,0.0,9,3.4
88.0,203.0,69.0,62.0,1700.0,95.0,18.4,994.5,2.6,0.0,9,3.1
114.0,260.0,57.0,73.0,1800.0,94.0,17.9,994.2,4.5,0.0,8,2.0
115.0,241.0,56.0,67.0,1600.0,100.0,16.4,994.8,5.4,0.0,10,3.3
115.0,241.0,56.0,67.0,800.0,86.0,14.1,995.5,5.4,0.0,9,2.6
83.0,242.0,37.0,54.0,800.0,56.0,12.6,996.7,4.3,0.0,9,2.6
61.0,207.0,29.0,58.0,600.0,60.0,11.6,997.7,3.9,0.0,9,0.9
54.0,181.0,27.0,45.0,700.0,65.0,11.0,997.5,4.0,0.0,8,1.5
53.0,181.0,26.0,45.0,800.0,56.0,11.0,997.1,1.5,0.0,2,1.5
54.0,144.0,22.0,53.0,900.0,59.0,10.8,997.4,0.8,0.0,1,1.5
50.0,147.0,39.0,47.0,1399.0,57.0,10.7,998.2,1.2,0.0,4,1.2
50.0,147.0,39.0,46.0,1300.0,58.0,9.8,997.4,4.0,0.0,12,1.2
46.0,136.0,53.0,46.0,1300.0,56.0,9.4,996.4,2.5,0.0,8,1.1
63.0,157.0,51.0,71.0,1399.0,56.0,9.2,997.4,2.3,0.0,4,1.0
62.0,156.0,50.0,71.0,1300.0,12.0,8.7,998.1,2.3,0.0,6,0.7
50.0,156.0,46.0,71.0,1300.0,11.0,8.5,998.7,2.3,0.0,4,1.1
58.0,185.0,35.0,71.0,1300.0,2.0,10.1,999.6,2.4,0.0,4,1.9
57.0,185.0,35.0,71.0,1300.0,7.0,13.3,1000.5,3.1,0.0,6,1.8
78.0,208.0,48.0,71.0,1300.0,15.0,15.1,1001.4,2.6,0.0,4,1.6
83.0,224.0,48.0,71.0,1300.0,32.0,17.7,1001.8,2.4,0.0,2,3.1
76.0,185.0,47.0,63.0,1100.0,58.0,19.1,1002.0,-0.4,0.0,4,3.3
72.0,188.0,40.0,56.0,1000.0,69.0,20.2,1001.7,-2.2,0.0,3,2.8
72.0,187.0,40.0,55.0,600.0,76.0,20.8,1001.4,-1.7,0.0,3,3.9
51.0,132.0,28.0,36.0,500.0,92.0,21.6,1000.8,-1.0,0.0,4,2.3
37.0,114.0,21.0,26.0,400.0,101.0,22.0,1000.1,-0.7,0.0,5,1.8
30.0,73.0,14.0,17.0,400.0,101.0,21.9,1000.1,-2.1,0.0,3,1.9
21.0,60.0,11.0,16.0,300.0,101.0,22.2,1000.2,-3.3,0.0,13,1.1
27.0,65.0,9.0,23.0,400.0,101.0,19.7,1000.5,2.1,0.0,10,5.3
41.0,113.0,14.0,30.0,500.0,96.0,15.4,1002.0,0.0,0.0,12,4.9
41.0,113.0,14.0,30.0,1300.0,83.0,13.6,1003.9,-0.8,0.0,12,3.6
93.0,312.0,38.0,60.0,1200.0,81.0,11.1,1005.5,-0.7,0.0,8,3.9
78.0,242.0,29.0,46.0,1000.0,94.0,10.0,1005.8,-0.8,0.0,8,2.2
78.0,242.0,29.0,46.0,900.0,80.0,9.5,1007.5,-0.4,0.0,11,2.5
55.0,139.0,22.0,67.0,700.0,57.0,9.1,1008.0,1.0,0.0,11,3.0
51.0,94.0,20.0,59.0,600.0,49.0,9.0,1007.6,1.2,0.0,11,2.0
51.0,94.0,19.0,59.0,400.0,53.0,8.7,1007.2,1.6,0.0,11,1.5
43.0,76.0,18.0,47.0,500.0,57.0,8.8,1007.4,1.7,0.0,15,2.0
35.0,77.0,18.0,35.0,500.0,66.0,8.6,1006.7,1.5,0.0,12,1.9
33.0,67.0,17.0,31.0,700.0,68.0,8.5,1006.1,1.6,0.0,8,1.1
34.0,62.0,16.0,32.0,600.0,63.0,8.6,1006.6,0.6,0.0,11,1.7
40.0,61.0,17.0,38.0,800.0,54.0,9.2,1007.0,0.6,0.0,12,1.6
39.0,68.0,20.0,39.0,900.0,52.0,10.0,1007.1,-0.2,0.0,12,2.0
43.0,74.0,25.0,56.0,800.0,41.0,10.6,1006.3,-1.2,0.0,12,4.4
43.0,74.0,25.0,56.0,700.0,47.0,12.1,1005.6,-2.2,0.0,8,2.9
37.0,100.0,24.0,50.0,700.0,50.0,13.4,1004.6,-1.0,0.0,8,3.8
40.0,88.0,28.0,46.0,700.0,58.0,14.6,1004.0,-1.9,0.0,8,2.3
51.0,86.0,25.0,46.0,600.0,63.0,15.8,1003.3,-2.2,0.0,11,2.2
51.0,86.0,25.0,46.0,500.0,80.0,16.0,1002.5,-1.6,0.0,11,1.8
52.0,74.0,22.0,38.0,800.0,80.0,17.1,1002.4,-2.1,0.0,15,1.0
60.0,83.0,29.0,40.0,900.0,78.0,17.1,1002.0,-1.6,0.0,10,1.2
74.0,111.0,34.0,53.0,1100.0,82.0,16.7,1002.5,-1.0,0.0,12,1.9
74.0,110.0,33.0,52.0,900.0,76.0,15.6,1003.4,-1.1,0.0,0,1.9
61.0,126.0,20.0,62.0,700.0,68.0,14.0,1004.4,-1.6,0.0,2,1.4
53.0,127.0,17.0,70.0,600.0,53.0,13.1,1006.2,-2.4,0.0,2,1.1
50.0,116.0,14.0,79.0,600.0,41.0,12.1,1008.0,-1.5,0.0,3,0.5
47.0,99.0,12.0,75.0,600.0,39.0,13.1,1008.9,-3.7,0.0,4,2.2
47.0,99.0,12.0,75.0,600.0,29.0,12.4,1010.4,-4.7,0.0,5,3.7
42.0,117.0,11.0,81.0,600.0,28.0,11.5,1011.7,-5.1,0.0,3,4.2
12.0,107.0,3.0,20.0,300.0,67.0,9.9,1013.2,-6.5,0.0,3,4.0
8.0,75.0,3.0,17.0,200.0,68.0,8.9,1014.6,-8.2,0.0,5,3.4
9.0,83.0,3.0,20.0,300.0,64.0,8.4,1015.7,-10.0,0.0,5,3.1
9.0,82.0,3.0,19.0,300.0,73.0,7.6,1016.5,-10.7,0.0,4,2.2
10.0,34.0,3.0,14.0,300.0,64.0,6.7,1017.1,-9.7,0.0,5,1.1
5.0,29.0,6.0,28.0,300.0,54.0,6.3,1018.4,-10.0,0.0,5,2.2
12.0,41.0,9.0,38.0,300.0,46.0,7.9,1019.6,-10.5,0.0,5,3.0
12.0,53.0,9.0,43.0,400.0,41.0,9.2,1020.1,-13.3,0.0,4,2.9
12.0,35.0,6.0,28.0,400.0,59.0,9.8,1020.5,-13.5,0.0,4,2.9
10.0,37.0,3.0,18.0,300.0,69.0,10.9,1020.3,-13.3,0.0,5,3.1
10.0,36.0,3.0,18.0,300.0,72.0,11.6,1019.7,-15.1,0.0,6,4.9
11.0,25.0,3.0,14.0,300.0,78.0,12.7,1018.7,-11.8,0.0,3,2.1
9.0,18.0,4.0,12.0,300.0,81.0,13.5,1017.4,-12.7,0.0,1,2.4
10.0,17.0,4.0,13.0,400.0,84.0,14.3,1016.4,-12.0,0.0,9,2.1
8.0,19.0,4.284,14.371,400.0,84.609,15.0,1015.6,-12.3,0.0,1,2.8
10.0,22.0,5.0,16.0,300.0,86.0,15.5,1014.9,-12.9,0.0,0,2.9
10.0,20.0,5.0,19.0,300.0,86.0,14.9,1014.5,-13.3,0.0,2,2.4
9.0,23.0,5.0,21.0,300.0,85.0,14.1,1015.0,-14.0,0.0,9,2.4
9.0,25.0,3.0,24.0,400.0,80.0,12.3,1015.6,-13.7,0.0,2,1.7
13.0,33.0,3.0,39.0,400.0,62.0,10.9,1016.5,-12.5,0.0,5,0.5
12.0,35.0,3.0,52.0,500.0,47.0,11.4,1017.7,-11.5,0.0,4,1.7
17.0,49.0,4.0,79.0,600.0,47.0,11.6,1018.1,-12.7,0.0,12,3.3
16.0,49.0,3.0,78.0,500.0,47.0,11.1,1018.4,-10.4,0.0,8,1.8
22.0,71.0,9.0,50.0,400.0,52.0,10.0,1018.4,-8.2,0.0,12,1.6
33.0,91.0,12.0,54.0,600.0,42.0,8.4,1017.5,-3.8,0.0,12,0.0
43.0,109.0,20.0,56.0,700.0,35.0,8.4,1018.3,-4.1,0.0,10,1.7
50.0,150.0,25.0,80.0,900.0,16.0,7.4,1018.6,-3.8,0.0,2,1.9
67.0,152.0,37.0,82.0,1200.0,9.0,7.3,1019.1,-6.1,0.0,10,2.5
67.0,154.0,49.0,85.0,1300.0,10.0,7.2,1019.2,-7.3,0.0,12,1.9
